erk,R,P,C,label
0.3796522072,0.9021506084,1.058312625,0.5188089595,saddle
0.3656918376,0.88690195,1.028233871,0.5024352381,saddle
0.3514073267,0.8714765504,0.9987807183,0.4853832617,saddle
0.3368185407,0.8558637196,0.9699774019,0.4676625006,saddle
0.3219480994,0.8400508983,0.9418436985,0.4492895106,saddle
0.3068211274,0.8240229537,0.914394221,0.4302882582,saddle
0.2914650104,0.8077613518,0.8876378579,0.4106903036,saddle
0.2759092201,0.791243194,0.8615773925,0.3905348752,saddle
0.2601852832,0.7744400949,0.8362093189,0.3698689008,saddle
0.2443269793,0.7573168628,0.8115238445,0.3487470973,saddle
0.2283708678,0.7398299156,0.7875050496,0.3272322672,saddle
0.2123572578,0.721925328,0.7641311506,0.3053960025,saddle
0.1963317762,0.7035363548,0.7413748014,0.2833200811,saddle
0.1803477556,0.6845802011,0.7192033631,0.2610989617,saddle
0.1644697977,0.6649537198,0.697579086,0.2388440003,saddle
0.1487791099,0.6445276001,0.6764591894,0.2166903768,saddle
0.1333816521,0.6231385153,0.6557959315,0.1948083829,saddle
0.1184209187,0.6005787447,0.6355370227,0.1734218923,saddle
0.1040985506,0.5765834606,0.6156273776,0.1528388738,saddle
0.09070811056,0.5508186702,0.5960147991,0.133501979,saddle
0.078689426,0.5228822205,0.5766660106,0.1160702622,saddle
0.06870630896,0.4923574,0.5576072302,0.1015360311,saddle
0.06171148006,0.4590153463,0.5390103223,0.09132217588,saddle
0.0588344848,0.4232705966,0.5213061539,0.08711382189,saddle
0.06084453627,0.3865810085,0.505134587,0.0900545008,stable
0.06753665733,0.3508749131,0.4909335525,0.09982985507,stable
0.07795212528,0.3173933321,0.4786307717,0.1149985532,stable
0.09107331536,0.2864787271,0.4678434111,0.1340305451,stable
0.1061467125,0.2580264038,0.4581616718,0.1557887047,stable
0.1226779361,0.2318187782,0.4492593161,0.179519427,stable
0.1403511702,0.2076522797,0.440901974,0.204729801,stable
0.1589630079,0.1853658317,0.4329281296,0.2310864629,stable
0.1783801122,0.1648365665,0.4252289931,0.2583505078,stable
0.1985138361,0.1459679657,0.4177326992,0.2863383685,stable
0.2193052076,0.1286786738,0.4103927444,0.31489892,stable
0.2407159645,0.1128942445,0.4031796856,0.3439004243,stable
0.2627230026,0.09854200783,0.3960752602,0.3732233873,stable
0.285314659,0.0855485151,0.3890683263,0.402756903,stable
0.3084879077,0.07383878993,0.3821521734,0.4323969696,stable
0.3322459787,0.06333663489,0.3753228438,0.4620458537,stable
0.3565961887,0.05396539048,0.3685781611,0.4916119688,stable
0.3815479386,0.04564874522,0.3619172165,0.5210099787,stable
0.4071109179,0.0383113886,0.3553401195,0.5501609892,stable
0.4332935798,0.03187944685,0.3488478736,0.5789927596,stable
0.4601019396,0.02628073308,0.3424422917,0.6074399012,stable
0.4875387224,0.02144488384,0.3361258988,0.6354440351,stable
0.5156028556,0.0173034569,0.3299018085,0.662953886,stable
0.5442892712,0.013790047,0.3237735695,0.6899252905,stable
0.5735889705,0.01084044977,0.3177449947,0.7163211041,stable
0.6034892871,0.008392879559,0.3118199859,0.7421110013,stable
0.6339742908,0.006388228119,0.306002368,0.7672711713,stable
0.6650252732,0.004770341328,0.3002957425,0.791783924,stable
0.6966212714,0.003486288147,0.2947033664,0.8156372227,stable
0.7287395907,0.002486599596,0.2892280611,0.8388241672,stable
0.7613563026,0.001725462805,0.2838721497,0.8613424487,stable
0.7944466997,0.001160865261,0.2786374207,0.8831937985,stable
0.8279856992,0.0007546966508,0.2735251158,0.9043834458,stable
0.861948191,0.0004728302955,0.2685359359,0.9249195997,stable
0.8963093299,0.0002852214047,0.2636700628,0.9448129643,stable
0.9310447753,0.0001660652376,0.2589271913,0.9640762931,stable
0.9661308829,9.402625306e-05,0.2543065695,0.9827239861,stable
1.001544853,5.244475322e-05,0.2498070424,1.000771731,stable
1.037264843,2.928989022e-05,0.2454270989,1.018236187,stable
1.073270047,1.66382398e-05,0.2411649175,1.035134711,stable
1.109540753,9.724321884e-06,0.2370184123,1.051485121,stable
1.146058366,5.883160102e-06,0.2329852757,1.067305491,stable
1.182805413,3.690101833e-06,0.22906302,1.082613983,stable
1.219765537,2.396508096e-06,0.2252490146,1.097428696,stable
1.256923465,1.607134208e-06,0.2215405209,1.11176755,stable
1.294264968,1.109342704e-06,0.2179347228,1.125648188,stable
1.331776824,7.856592005e-07,0.2144287545,1.13908789,stable
1.369446757,5.692193919e-07,0.2110197237,1.152103522,stable
1.407263393,4.207919041e-07,0.2077047328,1.164711479,stable
1.445216202,3.166712572e-07,0.204480896,1.176927656,stable
1.483295442,2.421307798e-07,0.201345354,1.188767421,stable
1.521492108,1.877833093e-07,0.1982952865,1.200245605,stable
1.559797878,1.475018636e-07,0.1953279219,1.21137649,stable
1.598205067,1.171996654e-07,0.1924405453,1.222173802,stable
1.636706578,9.409158581e-08,0.1896305051,1.232650725,stable
1.675295851,7.620404116e-08,0.1868952175,1.242819913,stable
1.713966835,6.240263036e-08,0.1842321703,1.252693483,stable
1.752713934,5.132865486e-08,0.181638925,1.262283037,stable
1.791531983,4.269124668e-08,0.1791131189,1.271599678,stable
1.830416206,3.573296075e-08,0.1766524651,1.280654027,stable
1.869362188,2.987321175e-08,0.1742547532,1.289456234,stable
1.908365845,2.543169609e-08,0.1719178489,1.298016,stable
1.9474234,2.145864974e-08,0.1696396928,1.306342597,stable
1.986531355,1.850509557e-08,0.1674182992,1.314444877,stable
2.02568647,1.571737143e-08,0.1652517553,1.3223313,stable
2.064885743,1.355375688e-08,0.1631382185,1.330009945,stable
2.104126392,1.188448978e-08,0.1610759154,1.337488529,stable
2.143405833,1.035549522e-08,0.1590631393,1.344774422,stable
2.18272167,8.855960929e-09,0.1570982486,1.351874667,stable
2.222071675,7.739208323e-09,0.155179664,1.358795991,stable
2.261453779,6.79516801e-09,0.1533058672,1.365544824,stable
2.300866058,6.158506791e-09,0.151475398,1.37212731,stable
2.340306719,5.268826484e-09,0.1496868527,1.378549321,stable
2.379774096,4.850328283e-09,0.1479388817,1.384816476,stable
2.419266633,4.122364941e-09,0.1462301873,1.390934144,stable
2.458782881,3.664542389e-09,0.144559522,1.396907464,stable
2.49832149,3.457272643e-09,0.1429256864,1.402741351,stable
2.537881195,3.106658218e-09,0.141327527,1.408440513,stable
2.577460819,2.600438165e-09,0.1397639346,1.414009453,stable
2.617059259,2.52142641e-09,0.1382338425,1.419452487,stable
2.656675484,2.089159127e-09,0.1367362245,1.424773748,stable
2.696308529,1.872669006e-09,0.1352700934,1.429977197,stable
2.735957491,1.686821338e-09,0.1338344992,1.435066632,stable
2.775621523,1.517193137e-09,0.1324285278,1.440045691,stable
2.815299832,1.566762092e-09,0.1310512992,1.444917868,stable
2.854991672,1.377475533e-09,0.1297019663,1.449686514,stable
2.894696345,1.298553809e-09,0.1283797133,1.454354843,stable
2.934413193,1.139280394e-09,0.1270837544,1.458925944,stable
2.9741416,1.083511187e-09,0.1258133329,1.463402781,stable
3.013880986,9.476054694e-10,0.1245677193,1.467788204,stable
3.053630803,9.098324454e-10,0.1233462109,1.472084949,stable
3.093390539,7.922773926e-10,0.1221481301,1.476295649,stable
3.133159708,7.686005728e-10,0.1209728235,1.480422835,stable
3.172937856,6.65572471e-10,0.1198196612,1.48446894,stable
3.21272455,6.530172283e-10,0.1186880353,1.488436308,stable
3.252519386,5.615760188e-10,0.1175773593,1.492327193,stable
3.29232198,5.57855165e-10,0.1164870674,1.496143766,stable
3.332131971,4.757214084e-10,0.1154166132,1.499888117,stable
3.371949016,4.79062991e-10,0.1143654691,1.503562261,stable
3.411772792,4.044556505e-10,0.1133331256,1.507168139,stable
